id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
5,,TONUSDT,SHORT,CLOSED,1.9296,1.9259,1.9264,1000.0,20.0,20000.0,10364.842454394693,VERY_STRONG,0.3129,0.0845,,39.72,46.15,30.0736,29.7524,0.229,-0.2285,BEARISH,-0.1201,-0.0433,24.7622,23.8704,38.6,32.8,52.2,0.097,46.0,50.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,0.1,-0.5,0.8554,0.8565,35.9,59.0,19.5,0.3213,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0951,11.321303932200058,23.116214444679994,0.5977,-0.601,0.0001,-1.0702,-0.4032,-0.0808,-0.0537,,,364754398.19105,,-0.0967,,,,,,,,,9.0,8.982742537313433,17.982742537313435,20.367174543947307,0.10183587271973653,0.10183587271973653,-0.095184753316749,1.9296,1.9259,0.0,0.3643,-0.1857,2026-05-26T00:29:50.214321,2026-05-26T00:29:20.274291,0.1719,NEVER,1,0.5,,True,,False,,,,2.0,1.0,PAIR_35-40_30-35,False,,,0,,0.3695,-0.1857,False,1.9285,1.902,2026-05-26T00:30:59.176992,2026-05-26T00:53:47.274276,1.3403,-0.033,1.14,23.95,,,0.962,,31.55,0.4852,27.5,0.6355,,,,,,,,,,0.0344,0.2158,0.449,0.5837,0.5319,,,,,,,2026-05-26T00:36:17.979687,0.3971,2026-05-26T00:31:01.224140,0.0447,2026-05-26T00:31:01.224140,0.0447,2026-05-26T00:36:56.518543,0.2313,2026-05-26T00:36:59.566533,0.2209,2026-05-26T00:36:56.518543,0.2313,2026-05-26T00:36:56.518543,0.2313,False,,,,False,,,,,,,,,,,,,2026-05-26T00:29:16,2026-05-26T00:29:50.233963,PATTERN_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
6,,TONUSDT,SHORT,CLOSED,1.9246,1.9209,1.9228,1015.3399668325043,20.0,20306.799336650085,10551.179121194058,VERY_STRONG,0.3166,0.0862,,39.53,46.15,30.0736,29.7524,0.2394,-0.2388,BEARISH,-0.1216,-0.0447,24.7622,23.8704,36.8,32.8,52.2,0.097,45.7,50.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,0.1,-0.5,0.8418,0.8893,28.2,69.2,18.5,0.3213,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0967,11.321303932200058,23.116214444679994,0.5978,-0.6016,0.0001,-1.0718,-0.4164,-0.0938,-0.0552,,,364812812.98628,,-0.1036,,,,,,,,,9.138059701492539,9.120491988255749,18.258551689748288,20.78081105867011,0.10233425127299367,0.10233425127299367,-0.3135235893172592,1.9246,1.9209,0.0,0.4471,-0.386,2026-05-26T00:32:12.677829,2026-05-26T00:30:58.605921,0.2082,NEVER,1,0.5,,True,,False,,,,2.0,1.0,PAIR_35-40_30-35,False,,,0,,0.4523,-0.386,False,1.9237,1.8989,2026-05-26T00:37:02.623992,2026-05-26T01:17:12.479553,1.2453,-0.0432,4.83,44.99,,,1.1778,,29.18,0.2269,25.12,0.3776,,,,,,,,,,0.1594,0.0919,0.0399,0.2269,0.362,,,,,,,2026-05-26T00:36:17.979687,0.1386,2026-05-26T00:36:27.093892,0.1542,2026-05-26T00:36:29.120567,0.149,2026-05-26T00:33:09.463531,0.1386,2026-05-26T00:45:02.978984,0.2321,2026-05-26T00:37:10.757656,0.0399,2026-05-26T00:33:36.756801,0.0971,False,,,,False,,,,,,,,,,,,,2026-05-26T00:30:37,2026-05-26T00:32:12.703831,PATTERN_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
7,,PENGUUSDT,SHORT,CLOSED,0.008733,0.008706,0.008704,1030.9557119318717,30.0,30928.67135795615,3541586.093891693,VERY_STRONG,0.5034,0.1411,,26.62,28.18,34.0155,32.4396,0.2515,-0.2508,BEARISH,-0.215,-0.0406,25.0153,24.7063,40.9,32.3,44.9,0.0973,46.2,50.1,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,,0.7781,1.51,25.6,74.4,10.8,1.5759,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.1036,9.4903618191153,32.22798656715792,0.3461,-0.4321,0.0001,-0.7244,-0.5666,-0.0519,-0.0525,2026-05-26T00:37:29.916349,0.09329554563149724,41757623.676778,,-0.2021,,,,,,,,,13.917902111080268,13.874871840039486,27.792773951119756,67.83005058395328,0.21931123325316898,0.6202702393221066,-0.20455971601971062,0.008733,0.008671,0.0,0.5658,-0.5722,2026-05-26T00:44:04.671278,2026-05-26T00:34:36.341617,0.1712,NEVER,2,1.0,,True,,False,,,,2.0,1.5,C1,False,,0.21931123325316898,0,,0.1217,-0.4938,False,0.00871,0.008587,2026-05-26T00:59:02.560736,2026-05-26T01:26:18.290550,1.5818,0.1734,12.79,40.05,,,1.181,,,,10.07,0.5741,,,,,,,,,,0.2764,0.494,0.5512,0.6887,0.9978,2026-05-26T00:41:05.590495,,,,,,2026-05-26T00:54:14.418611,0.7459,2026-05-26T00:54:11.366178,0.7803,2026-05-26T00:54:14.418611,0.7459,2026-05-26T00:54:25.798672,0.6772,2026-05-26T00:54:32.915516,0.7001,2026-05-26T00:46:20.515169,0.1963,2026-05-26T00:46:15.430739,0.1848,False,,,,False,,,,,,,,,,,0.311,13.15,2026-05-26T00:32:59,2026-05-26T00:46:15.085784,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
8,,TONUSDT,SHORT,CLOSED,1.9194,1.9085,1.908,1030.9557119318717,20.0,20619.114238637434,10742.479023985326,VERY_STRONG,0.4667,0.1469,,35.37,41.7,31.4415,30.305,0.3569,-0.3556,BEARISH,-0.2129,-0.0447,25.0153,24.7063,35.5,32.3,44.9,0.0983,44.9,50.1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,0.8917,1.2724,25.6,74.4,19.3,1.1365,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.1081,10.167449039826582,27.640731130211954,0.6202,-0.6598,0.0001,-1.1615,-0.6475,-0.0891,-0.0589,2026-05-26T00:38:46.118736,0.09764301344170304,366472589.04947,,-0.2661,,,,,,,,,9.278601407386844,9.225909547774199,18.504510955161045,98.58851040627803,0.478141346254033,0.8794889027821168,-0.32976607273105857,1.9194,1.9008,0.0,0.8164,-0.4347,2026-05-26T00:53:26.743904,2026-05-26T00:36:58.142350,-0.02,RECOVERED,2,1.0,,True,,False,,,,2.0,1.0,W1+W2,False,,0.478141346254033,0,,0.3537,-0.4906,True,1.9197,1.8877,2026-05-26T00:59:06.604375,2026-05-26T01:37:36.469453,1.5616,-0.1056,4.77,43.27,,,1.3636,,7.05,-0.0431,3.0,0.108,,,,,,,,,,0.3164,0.1444,-0.0327,0.3633,0.3685,2026-05-26T00:52:08.106793,,,,,,2026-05-26T00:54:22.704622,0.4362,2026-05-26T00:54:20.644565,0.4779,2026-05-26T00:54:20.644565,0.4779,2026-05-26T00:54:23.731592,0.4154,2026-05-26T00:54:24.769038,0.3789,2026-05-26T00:54:25.798672,0.3581,2026-05-26T00:54:24.769038,0.3789,False,,,,False,,,,,,,,,,,,,2026-05-26T00:34:20,2026-05-26T00:54:20.139236,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
9,,DASHUSDT,SHORT,CLOSED,44.321,44.19,44.24,515.4778559659358,20.0,10309.557119318715,232.6111125497781,VERY_STRONG,0.3673,0.1121,,33.53,43.54,33.2289,32.3823,0.3858,-0.3843,BEARISH,-0.1434,-0.0488,25.6857,25.127,28.8,31.6,42.5,0.0945,44.0,50.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.7099,0.9868,28.2,69.2,8.6,0.8466,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1246,10.166844485009916,26.295963752289396,0.4488,-0.3935,0.0001,-0.6583,-0.6145,-0.1355,-0.0636,2026-05-26T00:38:15.099741,,46859200.79,,-0.1286,,,,,,,,,1.8557202814773688,4.625588278608612,6.481308560085981,23.990747183935003,0.2327039552356676,0.2327039552356676,-0.2187524649714641,44.321,44.19,0.0,0.6508,-0.2684,2026-05-26T00:38:15.099714,2026-05-26T00:37:01.966705,0.2275,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.6735,-0.2684,False,44.32,43.56,2026-05-26T00:39:15.981334,2026-05-26T00:53:21.363715,1.654,-0.0607,1.01,15.1,,,0.6613,,34.26,0.8192,8.9,0.0972,,,,,,,,,,-0.0607,0.0521,0.3228,1.5863,1.0448,,,,,,,2026-05-26T00:54:15.434256,1.1802,2026-05-26T00:45:42.705112,0.2551,2026-05-26T00:45:48.809517,0.2326,2026-05-26T00:45:42.705112,0.2551,2026-05-26T00:45:43.723115,0.2551,2026-05-26T00:45:42.705112,0.2551,2026-05-26T00:45:58.978649,0.1874,False,,,,False,,,,,,,,,,,,,2026-05-26T00:36:41,2026-05-26T00:38:15.110031,FAST_EXIT L1,MAKER,TAKER,True,
10,,1000PEPEUSDT,SHORT,CLOSED,0.0035641,0.0035468,0.0035464,521.5722671147399,20.0,10431.445342294799,2926810.5110111386,STRONG_BUY,0.2076,0.0973,,28.81,42.09,26.1504,24.773,0.349,-0.3478,BEARISH,-0.1,-0.0601,26.5531,25.127,22.9,31.6,42.5,0.1042,41.9,50.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,1.1113,0.7645,20.5,71.8,13.7,1.3774,3.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.1369,12.727971687785175,32.77556684576899,0.2318,-0.1142,0.0001,-0.2714,-0.5113,-0.2378,-0.075,2026-05-26T00:48:16.897643,,145908873.529988,,-0.2661,,,,,,,,,4.694150404032659,4.671365184204438,9.365515588237098,41.26830625225571,0.395614460873714,0.797018321595918,-0.14614040010100254,0.0035641,0.0035325,0.0,0.8268,-0.4296,2026-05-26T00:53:15.958551,2026-05-26T00:39:15.648150,0.3124,NEVER,2,1.0,,True,,False,,,,1.0,1.0,,False,,0.395614460873714,0,,0.2427,-0.6076,False,0.0035636,0.0035254,2026-05-26T01:13:36.003611,2026-05-26T01:35:40.540081,0.9958,-0.076,19.21,41.28,,,0.777,,17.1,0.314,19.12,-0.0451,,,,,,,,,,0.2271,0.2018,0.0419,0.3337,0.2719,2026-05-26T00:52:15.830692,,,,,,2026-05-26T01:09:00.640639,0.2719,2026-05-26T00:54:23.731592,0.3898,2026-05-26T00:54:23.731592,0.3898,2026-05-26T00:54:23.731592,0.3898,2026-05-26T00:54:23.731592,0.3898,2026-05-26T00:54:24.769038,0.3645,2026-05-26T00:54:26.819265,0.3645,False,,,,False,,,,,,,,,,,,,2026-05-26T00:39:02,2026-05-26T00:54:23.158232,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
11,,ONDOUSDT,LONG,CLOSED,0.42310000000000003,0.4238,0.4232,1148.484401324282,20.0,22969.68802648564,54289.02866103909,VERY_STRONG,0.5658,0.1444,,64.89,65.83,29.6145,28.2613,0.1885,0.1889,BULLISH,0.2768,0.048,24.3279,23.2521,68.1,78.9,66.9,0.0749,43.6,38.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,0.1,-0.5,0.7296,0.92,74.4,17.9,80.9,1.3532,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,33.005535800053075,11.836959179954444,0.5248,0.3427,5e-05,0.4839,0.5263,0.073,-0.1368,,,187364756.49626,,0.0492,,,,,,,,,4.134543844767416,10.353460655946765,14.488004500714181,23.51431556201201,0.10237107066886747,0.10237107066886747,-0.1338733160009507,0.4238,0.42310000000000003,0.0,0.3063,0.5374,2026-05-26T05:41:44.010304,2026-05-26T05:41:31.939373,0.0941,NEVER,1,0.5,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_QuietVol_L,False,,,0,,0.3298,0.5374,False,0.4251,0.4203,2026-05-26T05:43:48.515112,2026-05-26T06:02:05.216858,0.4097,-0.7248,2.07,20.35,41.89,-0.5121,-0.4648,0.4097,7.18,-0.2048,9.2,-0.3466,,,44.93,-0.4412,2026-05-26T06:11:04.064078,-0.063,,,,0.197,0.3388,0.1261,0.0315,-0.1103,,,,,,,2026-05-26T05:44:18.017112,0.1261,2026-05-26T05:44:14.972054,0.1024,2026-05-26T05:44:33.251710,0.1497,,,,,2026-05-26T05:44:52.534373,0.0315,2026-05-26T05:45:01.670573,0.1497,False,,,,False,,,,,,,,,,,,,2026-05-26T05:41:31,2026-05-26T05:41:44.018457,PATTERN_FIXED_TP L1,MAKER,TAKER,True,
12,,XANUSDT,LONG,CLOSED,0.012031,0.012054,0.012047,1148.484401324282,20.0,22969.68802648564,1909208.546794584,VERY_STRONG,0.443,0.067,,57.08,53.14,24.5219,24.301,0.2476,0.2482,BULLISH,0.1584,0.048,24.3279,23.2521,68.1,78.9,66.9,0.0749,43.6,38.6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,W4,0.1,-0.5,0.7296,0.6991,74.4,17.9,57.0,0.2209,6.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,24.550738590667244,13.992282986817047,1.2802,0.9731,5e-05,1.5566,0.4426,0.073,-0.1368,,,175225394.47825,,0.0492,,,,,,,,,10.336359611918539,10.356119920377862,20.692479532296403,23.219317043979892,0.10108677582911188,0.10108677582911188,-0.25616241376443505,0.012054,0.012031,0.0,0.4876,0.1414,2026-05-26T05:42:10.782796,2026-05-26T05:42:01.042893,0.1396,NEVER,1,0.5,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_QuietVol_L+Ext_SlowADX_L,False,,,0,,0.4959,0.1414,False,0.012122,0.011697,2026-05-26T05:43:37.341513,2026-05-26T06:22:12.996087,0.6664,-2.8662,1.44,40.03,9.76,-1.0791,-2.4506,0.6664,8.75,-0.5388,11.83,-1.5861,,,9.76,-1.0791,2026-05-26T06:11:05.076845,-2.1264,,,,0.3838,0.5168,0.0181,-0.8464,-2.0017,,,,,,,2026-05-26T05:44:25.129527,0.3339,2026-05-26T05:44:31.225678,0.3672,2026-05-26T05:44:43.394284,0.3339,2026-05-26T05:44:43.394284,0.3339,2026-05-26T05:44:52.534373,0.1012,2026-05-26T05:44:50.509026,0.043,2026-05-26T05:44:50.509026,0.043,False,,,,False,,,,,,,,,,,,,2026-05-26T05:41:51,2026-05-26T05:42:10.785903,PATTERN_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
13,,TONUSDT,LONG,CLOSED,1.9171,1.904,1.9057,1181.2500479798832,20.0,23625.000959597666,12323.301319491768,STRONG_BUY,0.5272,0.1933,,64.47,63.15,19.3997,18.7479,0.2102,0.2106,BULLISH,0.2455,0.048,24.2493,23.2521,68.1,78.9,66.9,0.0752,43.6,38.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.7893,1.1013,74.4,17.9,86.8,0.6519,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,28.32027515262422,15.973750121305704,0.5203,-0.0359,5e-05,0.0557,0.6071,0.0729,-0.1368,,,395377838.58534,,0.0619,2026-05-26T05:54:20.718723,-0.6062,,,2026-05-26T05:57:35.493294,-0.7209,,,10.63125043181895,10.558604570540545,21.189855002359494,-182.62510228770304,-0.7730162745814049,0.1185545876584426,-0.7730162745814049,1.9211,1.9171,0.0,0.4647,0.4218,2026-05-26T05:43:55.382850,2026-05-26T05:57:35.540745,-0.4614,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,BTC1H_1hPullback_L,False,-0.6061726044546462,,0,,-0.4614,-0.0046,True,1.9069,1.884,2026-05-26T05:59:36.918299,2026-05-26T06:29:01.303705,-0.6221,-1.8166,2.02,31.42,1.48,-0.7838,-1.1698,0.0,0.47,-0.8359,22.02,-1.4671,,,3.51,-1.1489,2026-05-26T06:11:07.102496,-1.5297,,,,-0.935,-0.6273,-0.9872,-1.5088,-1.4671,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.0691,7.75,,,2026-05-26T05:43:11,2026-05-26T05:57:35.544120,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
14,,XANUSDT,LONG,CLOSED,0.012104,0.012054,0.012079,1181.2500479798832,20.0,23625.000959597666,1951834.1837076724,VERY_STRONG,0.5244,0.1059,,59.34,53.14,24.5219,24.301,0.4788,0.4811,BULLISH,0.192,0.048,24.2493,23.2521,68.1,78.9,66.9,0.0752,43.6,38.6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,W4,0.1,-0.5,0.7893,0.767,74.4,17.9,64.7,0.2209,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,24.53935196825295,13.9857933717492,1.2764,0.9872,5e-05,1.5933,0.7429,0.0729,-0.1368,,,174198432.117312,,0.0525,,,,,,,,,10.63125043181895,10.587334162685528,21.218584594504478,-118.8102937798875,-0.5029006939854568,0.07516027759417704,-0.5029006939854568,0.012124,0.012104,0.0,0.9549,0.2578,2026-05-26T05:43:37.068729,2026-05-26T05:44:47.709670,0.3962,NEVER,1,0.5,,True,,False,,,,2.0,1.0,BTC1H_1hPullback_L,False,,,0,,0.3797,0.2578,False,0.012096,0.011697,2026-05-26T05:46:04.582330,2026-05-26T06:22:12.996087,-0.1561,-3.4525,1.28,37.42,7.15,-1.6763,-2.4198,0.0,6.13,-1.1392,9.21,-2.1802,,,7.15,-1.6763,2026-05-26T06:11:06.089603,-2.6594,,,,-0.3709,-0.4535,-0.8666,-1.8993,-2.5685,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-26T05:43:31,2026-05-26T05:44:47.712298,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
15,,TIAUSDT,LONG,CLOSED,0.4709,0.4736,0.4743,590.6250239899414,20.0,11812.500479798828,25084.944743679822,STRONG_BUY,0.3563,0.1305,,61.39,62.08,16.3985,16.2321,0.233,0.2335,BULLISH,0.176,0.048,24.2493,23.2521,68.1,78.9,66.9,0.0752,43.6,38.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.7893,1.1185,74.4,17.9,76.2,0.1665,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,25.920265038817767,17.803883398391296,0.5765,-0.012,5e-05,0.1029,0.4929,0.0729,-0.1368,2026-05-26T05:58:52.364430,0.07981100021236419,74695636.537,,0.0646,,,,,,,,,5.315625215909472,5.346103423773044,10.661728639682515,57.0676221682539,0.4831121257167203,0.9076396262476188,-0.5569802505839838,0.4756,0.4709,0.0,0.8919,0.5064,2026-05-26T06:05:59.286236,2026-05-26T05:50:20.131086,-0.0578,RECOVERED,2,1.0,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_SlowADX_L,True,,0.4831121257167203,0,,0.2687,0.5816,True,0.4739,0.4648,2026-05-26T06:09:54.719984,2026-05-26T06:28:11.886882,0.5471,-1.3854,2.27,20.56,15.0,-0.8333,0.4621,0.5471,7.93,0.271,4.91,-0.0475,,,15.0,-0.8333,2026-05-26T06:11:08.114968,0.2073,,,,0.356,0.4834,-0.0475,-0.8333,-0.7271,2026-05-26T06:05:21.309454,,,,,,2026-05-26T06:07:43.743858,0.3772,2026-05-26T06:07:43.743858,0.3772,2026-05-26T06:07:43.743858,0.3772,2026-05-26T06:07:42.730338,0.4197,2026-05-26T06:07:43.743858,0.3772,2026-05-26T06:07:42.730338,0.4197,2026-05-26T06:07:43.743858,0.3772,False,,,,False,,,,,,,,,,,-0.3235,5.05,2026-05-26T05:43:52,2026-05-26T06:07:38.023421,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
16,,VVVUSDT,LONG,CLOSED,17.723,17.65,17.655,1077.6392653915923,20.0,21552.785307831844,1216.091254744222,STRONG_BUY,0.3796,0.1584,,64.99,44.6,19.37,18.2817,0.7269,0.7322,BULLISH,0.1688,0.025,24.7343,25.1179,58.6,57.8,78.9,0.0777,43.5,44.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,-0.5,0.7662,1.0825,64.1,28.2,96.8,1.0883,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0646,33.659288132735405,16.760038335519127,0.6168,0.1851,5e-05,0.3511,1.0109,0.0215,-0.0937,2026-05-26T06:09:01.537308,0.09611493539469193,84616521.79443,,0.058,,,,,,,,,9.698753388524329,9.65880479080598,19.35755817933031,-108.132219775659,-0.5017087964791537,0.2596704846809296,-0.5017087964791537,17.785,17.723,0.0,1.219,0.7274,2026-05-26T06:09:02.379608,2026-05-26T06:20:46.482619,-0.1129,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,UNMATCHED,False,,,0,,-0.1186,0.5682,False,17.703,17.5,2026-05-26T06:40:23.323697,2026-05-26T07:05:08.587422,-0.2028,-1.3483,19.61,44.36,34.5,-0.9476,-1.337,0.0,4.88,-0.5865,2.85,-0.6542,,,34.5,-0.9476,2026-05-26T06:20:46.873291,-0.5188,,,,-0.5245,-0.5865,-0.547,-0.9476,-0.6204,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-26T06:11:04.059824,-0.169,,,,,,,-0.1859,10.12,2026-05-26T06:07:28,2026-05-26T06:20:46.485499,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
17,,GRASSUSDT,LONG,CLOSED,0.5881,0.5856,0.5862,449.4557267367104,20.0,8989.114534734208,15285.010261408279,STRONG_BUY,0.57,0.2521,,58.05,58.56,16.531,15.7578,0.2735,0.2743,BULLISH,0.3023,0.0384,21.071,20.6208,68.2,66.8,56.7,0.0833,47.3,44.7,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,C4,,-0.5,0.7334,1.2492,61.5,30.8,62.8,0.7732,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.0855,28.350974619917558,16.443413583942267,1.0606,-0.2045,5e-05,-0.1527,0.7489,0.1422,-0.0787,,,100416238.23525,,0.0797,,,,,,,,,4.045101540630394,4.027905904086309,8.073007444716703,-46.285533098236584,-0.5149064784900437,0.045970073116820775,-0.5149064784900437,0.5889,0.5881,0.0,0.9001,0.6643,2026-05-26T06:42:00.785990,2026-05-26T06:44:15.769189,0.2676,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.2506,0.755,False,0.5856,0.5686,2026-05-26T06:44:19.154203,2026-05-26T07:22:34.843084,-0.5151,-3.4058,0.0,38.26,3.59,-1.7734,-2.9977,0.0,1.25,-1.0252,2.27,-1.7394,,,6.61,-1.7394,2026-05-26T06:55:50.520607,-1.9604,,,,-0.6511,-1.3653,-2.0284,-2.1985,-2.7766,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-26T06:41:07,2026-05-26T06:44:18.814139,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
